property_id,location,property_type,bedrooms,bathrooms,sqft,year_built,property_age,price,price_per_sqft,estimated_monthly_rent,days_on_market,estimated_roi,city,state,zip_code,neighborhood,latitude,longitude,has_pool,has_garage,lot_size,neighborhood_score,date_listed
27,Suburban Heights,Townhouse,4,2.0,1818.0,1974,51,453888,249.66336633663366,3285,19,0.06684961928934009,Dallas,TX,63394,Suburban Heights,32.746785908986226,-96.77768060591772,False,True,1.1,6.732854805797512,2025-02-26 06:42:21.896536
28,Northend,Condominium,3,3.0,1674.0,1967,58,317257,189.52031063321385,2555,8,0.07664089366034477,Philadelphia,PA,30079,Northend,39.984744072800986,-75.21108165047207,False,True,1.06,4.566646398879017,2025-03-09 06:42:21.896536
29,Northend,Condominium,5,1.5,1968.0,2011,14,516212,262.3028455284553,3213,43,0.05469024354335041,New York,NY,46220,Northend,40.72983854583544,-73.96084500256447,False,True,1.47,6.32557477077305,2025-02-02 06:42:21.896536
30,Downtown,Single Family Home,5,2.5,2287.0,1962,63,672770,294.1714035854832,4237,96,0.05557411894109428,New York,NY,51874,Downtown,40.67522199667281,-73.9663778697315,False,False,1.1,6.736724455702596,2024-12-11 06:42:21.896536
31,Southbay,Single Family Home,3,3.0,1713.0,1992,33,349762,204.18096906012843,2637,143,0.07047295017754932,Los Angeles,CA,23859,Southbay,34.06167766373769,-118.23203954181376,True,True,1.02,4.2915183558760654,2024-10-25 06:42:21.896536
32,Suburban Heights,Townhouse,5,2.5,2465.0,1977,48,548713,222.60162271805274,3534,9,0.05728630449797981,Dallas,TX,60460,Suburban Heights,32.78799441748656,-96.81711641136627,True,True,0.21,5.500164937827884,2025-03-08 06:42:21.896536
33,Downtown,Luxury Home,4,2.5,1802.0,1967,58,1177410,653.3906770255272,7708,56,0.058558870741712746,Chicago,IL,41419,Downtown,41.92162018152995,-87.5850649537369,True,True,0.41,8.173104782339227,2025-01-20 06:42:21.896536
34,Lakefront,Single Family Home,3,3.0,2032.0,2008,17,733132,360.79330708661416,4167,49,0.04820599837409907,New York,NY,18705,Lakefront,40.7253304660214,-73.97765772740584,False,True,1.48,7.024600721830933,2025-01-27 06:42:21.896536
35,Mountain View,Single Family Home,2,2.0,1432.0,2009,16,475602,332.1243016759777,4095,18,0.08332168493824668,Phoenix,AZ,52880,Mountain View,33.459625798588114,-112.0755601552426,False,True,0.22,5.520482382493003,2025-02-27 06:42:21.896536
36,Riverside,Single Family Home,3,3.0,1718.0,2012,13,466722,271.66589057043075,3432,0,0.06824096571406532,San Antonio,TX,33236,Riverside,29.440182011829926,-98.4882998547408,False,True,1.07,4.891983142651957,2025-03-17 06:42:21.896536
37,Westside,Luxury Home,3,1.5,1514.0,2006,19,1039934,686.8784676354029,5685,52,0.045600316943190625,Philadelphia,PA,97955,Westside,39.96234758626319,-75.1368167446581,False,False,0.39,6.315765220393966,2025-01-24 06:42:21.896536
38,Downtown,Single Family Home,4,1.5,1789.0,2000,25,691897,386.75069871436557,3843,130,0.04665153917418344,New York,NY,95514,Downtown,40.7108903831449,-74.05192458939075,False,False,1.24,7.822895633226202,2024-11-07 06:42:21.896536
39,Southbay,Single Family Home,3,2.0,1552.0,2005,20,351404,226.4201030927835,2562,44,0.06748904394941435,Phoenix,AZ,25358,Southbay,33.41479994809895,-112.08013927835104,False,True,1.1,4.763806569526919,2025-02-01 06:42:21.896536
40,Eastwood,Multi-Family,4,2.0,1933.0,1976,49,520618,269.3316088980859,3339,25,0.056962379326108585,Phoenix,AZ,86918,Eastwood,33.4708826559874,-112.06467213516898,False,True,0.52,4.318778262366837,2025-02-20 06:42:21.896536
41,Downtown,Single Family Home,4,2.0,1859.0,1981,44,663811,357.0796126949973,3631,33,0.04563916536484029,Philadelphia,PA,24596,Downtown,39.96762941858734,-75.16727210714237,False,True,0.57,7.079761359067719,2025-02-12 06:42:21.896536
42,Eastwood,Single Family Home,2,3.0,1272.0,1958,67,270871,212.9488993710692,2068,10,0.07161556608127116,Chicago,IL,43572,Eastwood,41.88967420219423,-87.64689825621853,False,False,0.92,3.5290301890552174,2025-03-07 06:42:21.896536
43,Downtown,Condominium,6,2.0,2534.0,2017,8,874487,345.10142067876876,4831,62,0.04629258067872935,Phoenix,AZ,88757,Downtown,33.445418259269665,-112.0495720934405,False,False,0.9,7.64967807571975,2025-01-14 06:42:21.896536
44,Lakefront,Multi-Family,3,2.0,1433.0,1995,30,709931,495.4159106769016,4085,61,0.049048963913394396,San Antonio,TX,11279,Lakefront,29.461283277897312,-98.50023446660437,False,True,0.41,6.804549534862867,2025-01-15 06:42:21.896536
45,Suburban Heights,Single Family Home,3,1.0,1564.0,2016,9,517258,330.72762148337597,2849,7,0.04609467615773946,Phoenix,AZ,73197,Suburban Heights,33.402766165770736,-112.10783274558531,False,True,1.14,5.7492984380296575,2025-03-10 06:42:21.896536
46,Southbay,Single Family Home,4,2.0,1856.0,1975,50,355271,191.4175646551724,2937,94,0.079203143515795,Phoenix,AZ,72516,Southbay,33.400486113929155,-112.05867369807626,False,False,0.4,3.3658706425684253,2024-12-13 06:42:21.896536
47,Westside,Single Family Home,2,2.5,1489.0,1957,68,372374,250.08327736736064,2760,14,0.06894283704018003,Phoenix,AZ,17083,Westside,33.43163146253551,-112.06975213642806,False,True,1.16,6.360110690382548,2025-03-03 06:42:21.896536
48,Northend,Single Family Home,3,1.0,1697.0,1955,70,342422,201.78078962875662,2932,181,0.0827504073920484,San Jose,CA,27771,Northend,37.33752768467838,-121.92814735104476,False,True,0.84,6.468883907166736,2024-09-17 06:42:21.896536
49,Northend,Condominium,3,2.0,1797.0,1973,52,330934,184.15915414579857,2815,21,0.08207473393486314,San Jose,CA,39975,Northend,37.32852613611239,-121.91424388750778,True,True,0.29,5.095508307344488,2025-02-24 06:42:21.896536
50,Suburban Heights,Single Family Home,3,1.5,1613.0,1997,28,475792,294.973341599504,3436,8,0.06665971685106097,Chicago,IL,55648,Suburban Heights,41.86993997886677,-87.65944217196578,False,True,1.09,6.1994088268162,2025-03-09 06:42:21.896536
51,Mountain View,Single Family Home,5,1.0,2186.0,1994,31,599625,274.30237877401646,3882,19,0.057688555347091934,New York,NY,58285,Mountain View,40.74684524062769,-74.03858066634217,False,True,1.04,6.802973762631334,2025-02-26 06:42:21.896536
52,Central District,Single Family Home,3,2.0,1536.0,1962,63,312865,203.68815104166666,2267,26,0.06695124095056974,Phoenix,AZ,29063,Central District,33.4944780551487,-112.0824092633853,True,False,0.55,5.498315646353063,2025-02-19 06:42:21.896536
53,Lakefront,Condominium,2,1.5,1385.0,2018,7,453261,327.2642599277978,3437,3,0.07099393064922858,Dallas,TX,77642,Lakefront,32.811324529201904,-96.7841235181794,False,True,0.64,6.6575485749851815,2025-03-14 06:42:21.896536
54,Lakefront,Condominium,3,2.5,1808.0,1974,51,435356,240.79424778761063,3157,38,0.06701844008122088,New York,NY,96143,Lakefront,40.736335029866574,-73.97922761119332,False,True,0.55,7.221720167033701,2025-02-07 06:42:21.896536
55,Northend,Multi-Family,5,3.0,1987.0,1969,56,666074,335.2159033719175,3865,40,0.049631902761555026,Chicago,IL,47599,Northend,41.878584488189304,-87.62546994766367,False,True,0.62,6.242529370540314,2025-02-05 06:42:21.896536
56,Lakefront,Single Family Home,2,2.0,1375.0,2015,10,574453,417.784,3456,60,0.05219389575822565,Houston,TX,61920,Lakefront,29.761799586780874,-95.36099416219099,False,True,0.33,6.030894855466156,2025-01-16 06:42:21.896536
57,Downtown,Townhouse,2,4.0,1773.0,2023,2,676141,381.3542019176537,4297,1,0.056262199748277356,New York,NY,38529,Downtown,40.66573944457565,-74.0164484830151,False,True,0.57,7.371468713686616,2025-03-16 06:42:21.896536
58,Suburban Heights,Townhouse,1,2.0,929.0,1994,31,277868,299.1044133476857,2150,35,0.07284984237119783,New York,NY,45954,Suburban Heights,40.72341887135612,-73.99622764347441,False,True,0.38,5.4485468364838106,2025-02-10 06:42:21.896536
59,Downtown,Single Family Home,1,2.0,886.0,1996,29,402815,454.6444695259594,3354,2,0.07991683527177489,San Diego,CA,37856,Downtown,32.74499560946056,-117.14559906611679,True,False,0.83,7.277264580797678,2025-03-15 06:42:21.896536
60,Westside,Single Family Home,4,4.0,2017.0,2012,13,787817,390.5884977689638,4431,54,0.047492831457051576,Los Angeles,CA,12573,Westside,34.10141333163406,-118.26531454713914,True,True,1.19,6.331979215950483,2025-01-22 06:42:21.896536
61,Westside,Single Family Home,4,1.5,1550.0,2025,0,610110,393.6193548387097,3844,2,0.055606038255396575,San Diego,CA,88344,Westside,32.70161510296662,-117.17271528481322,True,True,0.92,6.993341929573274,2025-03-15 06:42:21.896536
62,Suburban Heights,Single Family Home,3,3.5,1775.0,2004,21,568623,320.35098591549297,3231,109,0.0481857751093431,San Antonio,TX,45367,Suburban Heights,29.420681280702023,-98.46000019362188,False,True,1.2,5.187643744790886,2024-11-28 06:42:21.896536
63,Riverside,Single Family Home,4,1.0,1805.0,2024,1,479897,265.8709141274238,3565,54,0.0691441288443145,San Jose,CA,70774,Riverside,37.31177920939592,-121.85869997929646,False,True,1.43,4.775167806265021,2025-01-22 06:42:21.896536
64,Westside,Single Family Home,3,2.0,1639.0,1968,57,429761,262.20927394752897,3221,31,0.06993836108907044,San Jose,CA,33752,Westside,37.328731018308574,-121.8761144616338,False,False,0.93,6.628389583597491,2025-02-14 06:42:21.896536
65,Suburban Heights,Single Family Home,5,1.0,2183.0,1984,41,572752,262.3692166743014,3217,26,0.047400899516719275,Los Angeles,CA,65029,Suburban Heights,34.06545405332263,-118.2564151362811,False,True,1.2,5.988315207103609,2025-02-19 06:42:21.896536
66,Northend,Townhouse,5,2.5,2091.0,2002,23,545911,261.07651841224293,3283,6,0.05216560941252329,Philadelphia,PA,27685,Northend,39.953861520520576,-75.17389688253523,False,False,0.65,5.963746506125441,2025-03-11 06:42:21.896536
67,Downtown,Single Family Home,3,2.5,1704.0,1975,50,523812,307.40140845070425,3359,15,0.0569512725939841,Philadelphia,PA,61693,Downtown,39.90951327861866,-75.17148346111831,False,True,1.36,7.2675825118136945,2025-03-02 06:42:21.896536
68,Riverside,Townhouse,4,2.5,2038.0,1963,62,335478,164.61138370951915,2458,91,0.06792230787115697,Chicago,IL,65961,Riverside,41.83783933925536,-87.63929792009198,False,False,0.2,5.639934127280152,2024-12-16 06:42:21.896536
69,Downtown,Condominium,4,2.0,1803.0,1994,31,500997,277.8685524126456,3130,105,0.054970508805441944,Los Angeles,CA,86908,Downtown,34.06149183998318,-118.23575851006565,False,True,0.69,7.4636068850778825,2024-12-02 06:42:21.896536
70,Mountain View,Multi-Family,3,2.0,1684.0,1993,32,662913,393.65380047505937,4100,0,0.05421788379470609,New York,NY,84532,Mountain View,40.72906212790083,-74.04647384920453,False,True,1.12,6.392427819229595,2025-03-17 06:42:21.896536
71,Central District,Condominium,2,1.0,1216.0,2014,11,284610,234.05427631578948,2446,40,0.08313059976810372,Philadelphia,PA,91994,Central District,39.96781232455304,-75.18398519433035,False,True,0.23,5.651061646693499,2025-02-05 06:42:21.896536
72,Suburban Heights,Single Family Home,3,2.0,1474.0,2000,25,501909,340.5081411126187,2857,57,0.04830720309856966,Phoenix,AZ,66133,Suburban Heights,33.43830459461371,-112.03820137460772,False,True,0.4,5.550472211862245,2025-01-19 06:42:21.896536
73,Downtown,Condominium,4,3.5,2106.0,1992,33,599608,284.7141500474834,3561,43,0.05126656081973556,Dallas,TX,71268,Downtown,32.72760304041295,-96.78815873666593,False,False,1.05,6.650404057525605,2025-02-02 06:42:21.896536
74,Riverside,Single Family Home,5,2.0,2142.0,1972,53,399852,186.67226890756302,3471,3,0.08416854236067345,New York,NY,48243,Riverside,40.722671398010014,-74.01633402236564,True,False,1.11,5.165567956724965,2025-03-14 06:42:21.896536
75,Central District,Single Family Home,4,3.0,2139.0,2005,20,511133,238.9588592800374,3164,11,0.0542820361823635,San Antonio,TX,67384,Central District,29.397802785710834,-98.52013259617385,False,True,1.28,4.966023711096757,2025-03-06 06:42:21.896536
76,Central District,Multi-Family,4,3.0,1953.0,1968,57,548986,281.09882232462877,3220,12,0.05038430852517186,Phoenix,AZ,41653,Central District,33.48677096696608,-112.0797975626217,False,True,1.39,5.793008501917989,2025-03-05 06:42:21.896536
77,Central District,Single Family Home,3,2.0,1343.0,2025,0,418269,311.44378257632167,3099,80,0.06890929043271196,Phoenix,AZ,36657,Central District,33.43148893629892,-112.07912224261686,False,True,0.32,5.965360097444869,2024-12-27 06:42:21.896536
78,Downtown,Single Family Home,4,2.5,2003.0,2004,21,779132,388.982526210684,4452,27,0.04856861225055575,Los Angeles,CA,49952,Downtown,34.069139040145934,-118.27912434317552,False,False,0.19,7.298218701149459,2025-02-18 06:42:21.896536
79,Westside,Townhouse,4,1.0,1845.0,2009,16,524079,284.0536585365854,3195,30,0.0531569095498961,Chicago,IL,32180,Westside,41.87304338352138,-87.62101156288897,False,True,1.2,6.330878032519322,2025-02-15 06:42:21.896536
80,Downtown,Multi-Family,3,1.5,1334.0,2008,17,817714,612.9790104947526,5120,122,0.0551362945968884,San Antonio,TX,88411,Downtown,29.468958335485144,-98.51834722179245,False,True,0.56,7.315925204411453,2024-11-15 06:42:21.896536
81,Lakefront,Condominium,3,1.0,1650.0,1982,43,383205,232.24545454545455,2835,45,0.06877754726582377,Philadelphia,PA,11622,Lakefront,39.93852507479162,-75.17726414100775,False,True,1.0,6.649108219461852,2025-01-31 06:42:21.896536
82,Southbay,Single Family Home,4,2.5,2089.0,1968,57,316994,151.7443752991862,2586,103,0.07789459737408279,Los Angeles,CA,58756,Southbay,34.06275381576449,-118.25802679469601,False,False,0.39,4.563374195532795,2024-12-04 06:42:21.896536
83,Westside,Condominium,1,2.0,827.0,1977,48,245801,297.22007255139056,1986,27,0.07695648105581344,Philadelphia,PA,50809,Westside,39.955951192529966,-75.1370209670155,False,True,0.61,7.017991524981455,2025-02-18 06:42:21.896536
84,Downtown,Single Family Home,4,2.0,1769.0,2001,24,686431,388.03335217637084,4130,7,0.05219953644284713,Los Angeles,CA,26725,Downtown,34.07273855941122,-118.24906313534875,False,False,0.92,7.45728974110105,2025-03-10 06:42:21.896536
85,Westside,Townhouse,2,2.0,1272.0,1998,27,361416,284.1320754716981,3001,119,0.07964141045222127,Los Angeles,CA,71396,Westside,34.088621617767416,-118.23788597504061,False,False,0.84,5.589322432757798,2024-11-18 06:42:21.896536
86,Westside,Luxury Home,3,2.0,1449.0,1986,39,965513,666.3305728088337,6184,27,0.056858623343238254,Los Angeles,CA,61226,Westside,34.05619058395022,-118.29028122340608,False,True,0.84,6.119118603026147,2025-02-18 06:42:21.896536
87,Central District,Townhouse,4,2.5,2078.0,1975,50,399807,192.39990375360924,3085,9,0.07259467693161951,Chicago,IL,91182,Central District,41.92676929803572,-87.66750291914704,True,True,0.91,4.5846060931096755,2025-03-08 06:42:21.896536
88,Southbay,Multi-Family,3,3.0,1729.0,1989,36,456182,263.84152689415845,3933,16,0.08345870727034385,Los Angeles,CA,92565,Southbay,34.025313091242765,-118.28853031627585,False,False,0.6,4.622174492400517,2025-03-01 06:42:21.896536
89,Lakefront,Single Family Home,2,1.0,982.0,1987,38,352841,359.3085539714868,2631,2,0.06947939723558204,Houston,TX,39402,Lakefront,29.77440029668369,-95.39732988230273,False,True,0.22,6.1751511468323494,2025-03-15 06:42:21.896536
90,Eastwood,Townhouse,3,1.5,1386.0,2003,22,309067,222.9920634920635,2310,28,0.06968929067160196,Dallas,TX,14263,Eastwood,32.74470104374727,-96.83814444157767,False,False,0.27,5.1113507580854085,2025-02-17 06:42:21.896536
91,Downtown,Townhouse,4,2.5,2187.0,1971,54,559624,255.88660265203475,3201,86,0.04863894329049505,Philadelphia,PA,56828,Downtown,39.9129308957124,-75.15673292995574,False,True,0.82,7.838367304398286,2024-12-21 06:42:21.896536
92,Central District,Single Family Home,1,2.0,1307.0,1965,60,218502,167.17827084927313,1615,122,0.06869484032182771,New York,NY,57924,Central District,40.73162078658666,-74.01626210115356,False,True,0.49,5.464882918260899,2024-11-15 06:42:21.896536
93,Central District,Multi-Family,5,2.5,2357.0,1977,48,701940,297.8107764106916,3984,121,0.04810838533207966,San Diego,CA,84182,Central District,32.71368970815921,-117.1425032264017,True,False,1.03,4.864426375170047,2024-11-16 06:42:21.896536
94,Northend,Single Family Home,2,2.0,1258.0,1984,41,352825,280.4650238473768,2600,6,0.06842910791468859,San Antonio,TX,69052,Northend,29.37583797901855,-98.51128693429297,True,True,0.5,5.859451592003516,2025-03-11 06:42:21.896536
95,Central District,Condominium,6,2.0,2413.0,2009,16,495661,205.41276419394944,4220,21,0.08216660177016145,San Jose,CA,21664,Central District,37.38550977480703,-121.87828877703046,False,True,1.44,5.218057889413831,2025-02-24 06:42:21.896536
96,Eastwood,Townhouse,5,1.5,2259.0,1994,31,433421,191.86409915891988,3217,1,0.06906813467736912,Chicago,IL,45737,Eastwood,41.853522457989754,-87.62762699533639,False,False,1.61,5.037960390457259,2025-03-16 06:42:21.896536
97,Northend,Condominium,3,2.0,1615.0,1995,30,331610,205.3312693498452,2784,86,0.08074485087904466,New York,NY,99563,Northend,40.697065348812096,-74.00277550111737,False,True,0.55,5.393539668936504,2024-12-21 06:42:21.896536
98,Eastwood,Single Family Home,3,2.5,1328.0,2021,4,435293,327.7808734939759,3167,19,0.06730671065236518,Phoenix,AZ,39373,Eastwood,33.41097415118067,-112.11072853461808,False,True,0.41,4.445651249792605,2025-02-26 06:42:21.896536
99,Downtown,Condominium,3,2.0,1806.0,2004,21,486322,269.281284606866,4239,44,0.08459736553147913,Houston,TX,46397,Downtown,29.72475423620394,-95.32581802080732,False,True,0.31,7.787152445479641,2025-02-01 06:42:21.896536
100,Downtown,Condominium,3,3.0,1969.0,1975,50,435259,221.0558659217877,3629,56,0.08005077436652659,San Jose,CA,96145,Downtown,37.36148989183413,-121.92006181053377,False,False,0.98,6.716154987332777,2025-01-20 06:42:21.896536
101,Downtown,Multi-Family,2,3.0,1547.0,1974,51,646297,417.7744020685197,3495,25,0.04489276601933786,San Diego,CA,48709,Downtown,32.684534908376556,-117.13801705251292,False,False,0.67,7.372488896728635,2025-02-20 06:42:21.896536
102,Southbay,Single Family Home,1,2.0,782.0,2014,11,221501,283.2493606138107,1865,16,0.08103791856470174,New York,NY,71120,Southbay,40.67841638447922,-74.03254387066652,True,True,0.31,4.943901690519612,2025-03-01 06:42:21.896536
103,Westside,Single Family Home,2,3.0,1273.0,1955,70,358187,281.3723487824038,2873,147,0.07625139940868876,San Jose,CA,29250,Westside,37.38453468328204,-121.91076934752716,False,False,0.92,5.575104640120092,2024-10-21 06:42:21.896536
104,Northend,Townhouse,3,2.0,1229.0,1972,53,286933,233.4686737184703,2423,150,0.08133376084312366,New York,NY,31172,Northend,40.728963235037114,-73.95813687125995,False,False,0.35,5.132009445732788,2024-10-18 06:42:21.896536
105,Lakefront,Single Family Home,3,2.0,1919.0,2013,12,635935,331.3887441375717,3832,15,0.05230927689150621,Houston,TX,21555,Lakefront,29.74782967671398,-95.41804840091379,True,True,0.9,6.6282196381787415,2025-03-02 06:42:21.896536
106,Suburban Heights,Condominium,3,2.5,1579.0,1992,33,387030,245.11082963901202,3183,29,0.07869002402914503,San Diego,CA,97410,Suburban Heights,32.690114729042236,-117.12801228086583,False,True,0.86,6.266928238471545,2025-02-16 06:42:21.896536
107,Eastwood,Condominium,6,2.0,2966.0,1972,53,377696,127.34187457855698,3194,162,0.08147843768533425,Phoenix,AZ,88617,Eastwood,33.4848608835955,-112.04714806354762,False,True,1.52,3.71160071884828,2024-10-06 06:42:21.896536
108,Central District,Multi-Family,3,2.5,2041.0,1979,46,569099,278.83341499265066,3349,0,0.05061688739569038,Los Angeles,CA,63276,Central District,34.01351098190766,-118.21414896283036,False,True,0.22,5.257088061757722,2025-03-17 06:42:21.896536
109,Suburban Heights,Condominium,3,1.5,1370.0,1967,58,270135,197.17883211678833,1946,23,0.06644566605586096,Philadelphia,PA,67492,Suburban Heights,39.99446777969935,-75.15513904574537,False,False,1.35,5.190080481303239,2025-02-22 06:42:21.896536
110,Downtown,Condominium,3,2.5,1509.0,1970,55,412988,273.6832339297548,3535,4,0.08271484885759392,Phoenix,AZ,63002,Downtown,33.492487535633806,-112.04131611162882,True,False,1.1,6.689907294836662,2025-03-13 06:42:21.896536
111,Suburban Heights,Single Family Home,4,3.0,2093.0,2006,19,675756,322.86478738652653,3957,32,0.05026796654413723,Los Angeles,CA,99599,Suburban Heights,34.06889715169909,-118.23598147632883,False,True,0.49,6.456366714376965,2025-02-13 06:42:21.896536
112,Suburban Heights,Single Family Home,5,3.0,1950.0,1972,53,533382,273.52923076923076,3197,1,0.051925936758270806,Chicago,IL,82355,Suburban Heights,41.8629573667242,-87.66387125547573,False,True,0.49,5.648270347665592,2025-03-16 06:42:21.896536
113,Lakefront,Single Family Home,4,2.5,1863.0,1994,31,680517,365.280193236715,3681,23,0.04490947323872879,Dallas,TX,34762,Lakefront,32.787195392269055,-96.81518884463819,False,True,0.81,7.954845895427495,2025-02-22 06:42:21.896536
